,rno-miR-200b-3p,rno-miR-221-3p,rno-miR-200a-3p,rno-let-7c-5p,rno-miR-429,rno-miR-365-3p,rno-miR-27a-3p,rno-miR-205,rno-miR-23a-3p,rno-miR-24-3p,rno-miR-148a-3p,rno-let-7b-5p
Ywhaq,0,0,0,0,0,0,1,0,0,0,0,0
Senp7,0,0,0,0,0,0,0,0,1,0,0,0
Abhd17c,0,0,0,0,0,0,1,0,0,0,0,0
Cabp7,0,0,0,0,0,0,0,0,0,1,1,0
Ikzf5,0,0,1,0,0,0,0,0,0,0,0,0
Nbr1,1,0,0,0,1,0,0,0,0,0,0,0
Ppp1r9b,1,0,0,0,1,0,0,0,0,0,1,0
Il6r,0,0,0,0,0,0,0,0,1,0,0,0
Cnrip1,0,0,0,0,0,0,1,0,0,0,0,0
Gria4,0,0,0,0,0,0,1,0,0,0,0,0
Leng8,0,0,1,0,0,0,0,0,0,0,0,0
Gadd45a,0,0,0,0,0,0,0,0,0,0,1,0
Stk4,0,0,0,0,0,0,0,0,1,0,0,0
Trak1,0,0,0,0,0,0,0,0,0,0,1,0
Virma,0,0,0,1,0,0,0,0,0,0,0,1
Raet1l,0,0,0,0,0,0,0,0,0,1,0,0
Prkaa1,0,1,0,0,0,0,0,0,0,0,0,0
Apbb3,0,0,0,1,0,0,0,0,0,0,0,1
Taf12,0,0,1,0,0,0,0,0,0,0,0,0
Tmem177,0,0,0,0,0,0,1,0,0,0,0,0
Serinc5,0,0,0,0,0,0,0,0,1,0,0,0
Pttg1ip,0,1,0,0,0,0,0,0,0,0,0,0
Sdf2,0,0,0,0,0,0,0,0,0,1,0,0
Inpp1,0,0,0,0,0,0,0,0,1,0,0,0
Amt,0,0,0,1,0,0,0,0,0,0,0,1
Adgrl2,0,0,0,0,0,0,0,0,1,0,0,0
Appbp2,0,0,0,0,0,0,1,0,0,0,0,0
Satb2,0,0,0,0,0,0,1,1,0,0,0,0
Oxtr,0,0,0,0,0,0,0,0,0,1,0,0
Rbpms2,0,0,0,0,0,0,1,0,1,0,0,0
Map7d1,0,0,1,0,0,0,0,0,0,0,0,0
Acly,0,0,0,0,0,0,1,0,0,0,0,0
Adamts9,0,0,0,0,0,0,0,1,0,0,0,0
Marcks,1,0,0,0,1,0,0,0,0,0,0,0
N4bp1,0,0,0,0,0,0,0,0,1,0,0,0
Hic2,0,0,0,1,0,0,0,0,0,0,0,1
Gata2,0,0,0,0,0,0,1,0,0,0,0,0
Igsf8,0,0,0,0,0,0,0,0,1,0,0,0
MGC114246,0,0,0,0,0,0,0,0,1,0,0,0
Tor1b,0,0,0,0,0,0,1,0,0,0,0,0
Mrc1,0,0,0,0,0,0,0,0,1,0,0,0
Nup210,0,0,0,0,0,0,0,0,0,1,0,0
Ppp1r1c,0,0,0,0,0,0,1,0,0,0,0,0
Ppt2,0,0,1,0,0,0,0,0,0,0,0,0
Ambra1,0,0,0,0,0,0,0,0,1,0,0,0
Grb7,0,0,0,0,0,1,0,0,0,0,0,0
Rpgrip1l,0,0,0,0,0,0,1,0,0,0,0,0
Rnd3,0,0,0,0,0,0,0,1,0,0,0,0
Csf1,0,0,0,0,0,0,1,1,0,0,1,0
Usp42,0,0,0,0,0,0,1,0,0,0,0,0
Nme4,0,0,0,1,0,0,0,0,0,0,0,1
Foxa2,0,0,1,0,0,0,0,0,0,0,0,0
Sptssa,1,0,0,0,1,0,0,0,0,0,0,0
